"시점",청주시
"시점",총인구수 (명)
"2014",831521
"2015",831912
"2016",835197
"2017",835590
"2018",837749
"2019",839566
"2020",844993
"2021",848482
"2022",849573
"2023",852189
"2024",854537
"2025",856152
